frequency,fdate,Model,WXID
3,2018/1,U2417Ht,644221
2,2018/1,U2718Qb,644322
4,2018/1,U2417Ht,647229
3,2018/1,E2216HVf,647315
2,2018/2,U2417Ht,650087
2,2018/2,U2417Ht,650137
1,2018/2,U2417Ht,650188
5,2018/2,U2417Ht,650238
1,2018/5,U2718Qb,653081
1,2018/3,U2718Qb,653081
2,2018/3,U2417Ht,653181
2,2018/3,U2718Qb,656104
2,2018/5,U2718Qb,656104
3,2018/4,U2417Ht,659111
5,2018/4,U2417Ht,659162
5,2018/4,E2216HVf,659198
5,2018/4,P2714Hc,659212
5,2018/4,U2417Ht,659248
2,2018/5,U2417Ht,662205
1,2018/5,U2417Ht,662206
3,2018/5,AW3418HWb,662219
2,2018/5,U2417Ht,662220
4,2018/5,U2417Ht,662270
2,2018/5,U2718Qb,662355
2,2018/5,U2718Qb,665313
2,2018/5,U2718Qb,665314
3,2018/5,U2718Qb,668136
2,2018/5,U2718Qb,668186
2,2018/5,U2718Qb,668221
2,2018/5,U2718Qb,668222
3,2018/5,U2417Ht,668271
5,2018/5,U2417Ht,668286
5,2018/6,U2417Ht,670830
4,2018/6,U2417Ht,670880
5,2018/6,E2216HVf,673651
6,2018/6,U2417Ht,673751
2,2018/6,U2417Ht,673752
4,2018/6,E2216HVf,673802
2,2018/6,U2718Qb,676809
2,2018/7,U2718Qb,676809
4,2018/7,U2417Ht,679818
2,2018/1,P2715Qt,641774
2,2018/1,U2412Mc,644867
4,2018/2,E2418HNb,650449
1,2018/4,U2518Dt,650462
1,2018/2,U2518Dt,650462
6,2018/2,SE2416HMc,650549
3,2018/3,SE2416Hc,653808
3,2018/3,E2418HNb,653855
2,2018/4,U2518Dt,660207
3,2018/7,U2518Dt,660207
3,2018/5,SE2416Hc,660224
1,2018/4,SE2416Hc,660224
2,2018/5,U2518Dt,666223
2,2018/5,U2518Dt,666240
2,2018/5,U2518Dt,666325
2,2018/7,U2518Dt,666325
5,2018/5,SE2416HMc,666340
1,2018/5,U2518Dt,666423
2,2018/7,U2518Dt,666423
2,2018/6,U2518Dt,669433
2,2018/6,P2418HTt,669484
4,2018/6,U2518Dt,669518
5,2018/6,SE2416Hc,672790
2,2018/6,U2518Dt,672877
2,2018/6,U2518Dt,672890
2,2018/6,U2518Dt,672926
3,2018/6,U2518Dt,676149
2,2018/6,SE2717Hc,676219
4,2018/7,E2418HNb,679378
2,2018/7,U2518Dt,682016
3,2018/7,SE2216Hf,682035
2,2018/7,U2518Dt,684758
5,2018/7,SE2416HMc,684860
5,2018/8,SE2416Hc,687951
2,2018/8,U2518Dt,690859
2,2018/8,U2518Dt,690874
6,2018/9,P2419Hb,696826
3,2018/9,SE2416HMc,696926
1,2018/9,P2419Hb,699634
2,2018/11,P2419Hb,699634
2,2018/10,SE2717Hc,702606
2,2018/10,SE2717Hc,702608
3,2018/10,SE2216Hf,702672
4,2018/10,SE2717Hc,708188
1,2018/4,SE2417HGc,632254
2,2018/1,U3014t,647230
3,2018/3,E2216Hf,653045
1,2018/4,SE2417HGc,659197
5,2018/4,E2016HVf,659247
2,2018/4,U3415Wb,659262
4,2018/5,U3014t,662406
2,2018/5,SE2417HGc,665364
