frequency,fdate,Model,WXID
3,2019/2,U2417Ht,653491
3,2019/6,U2414Hb,701198
1,2019/6,U2414Hb,713389
1,2019/6,U2718Qb,723628
2,2019/1,U2417Ht,726393
3,2019/1,U2718Qb,726400
2,2019/1,U2417Ht,726434
2,2019/1,U2417Ht,726493
4,2019/1,U2417Ht,729099
3,2019/1,P2217Hb,729101
4,2019/1,U2718Qb,729135
3,2019/1,U2718Qb,729165
2,2019/1,U2417Ht,729208
3,2019/1,U2718Qb,731816
4,2019/1,U2718Qb,731950
2,2019/1,E2216HVf,731973
2,2019/2,U2718Qb,734324
1,2019/2,U2417Ht,736823
1,2019/3,U2417Ht,736823
2,2019/2,U2417Ht,736830
1,2019/3,U2417Ht,736830
2,2019/3,U2417Ht,736853
1,2019/6,U2414Hb,739938
1,2019/3,U2414Hb,739938
2,2019/3,U2417Ht,740004
3,2019/3,U2417Ht,740040
1,2019/3,U2419HSt,742310
1,2019/4,U2419HSt,742310
2,2019/3,U2417Ht,742403
1,2019/3,U2419HSt,742405
1,2019/4,U2419HSt,742405
2,2019/3,U2417Ht,742410
3,2019/3,U2417Ht,742412
1,2019/3,U2419HSt,742505
1,2019/4,U2419HSt,742505
5,2019/4,E2216HVf,745054
3,2019/4,U2417Ht,745120
2,2019/4,U2417Ht,747383
2,2019/4,U2417Ht,747385
2,2019/4,U2419HSt,747390
2,2019/4,U2417Ht,747392
4,2019/4,U2417Ht,747419
3,2019/4,U2718Qb,747449
1,2019/4,U2417Ht,747485
3,2019/7,U2417Ht,747485
5,2019/4,U2417Ht,747519
3,2019/4,U2417Ht,750034
3,2019/4,U2417Ht,750093
4,2019/4,U2417Ht,752206
4,2019/4,U2417Ht,752265
3,2019/7,U2417Ht,752265
3,2019/4,U2417Ht,752270
2,2019/3,U2414Hb,604888
2,2019/3,U2414Hb,615299
2,2019/8,SE2417HGc,723633
2,2019/1,SE2417HGc,726420
2,2019/1,SE2417HGc,726437
4,2019/1,U3014t,729062
3,2019/1,E2316Hf,729147
3,2019/1,P2415Qb,729198
4,2019/1,P2717Ht,731955
2,2019/8,E2016Hb,779975
2,2019/8,E2016Hb,784259
2,2019/9,E2016Hb,786388
4,2019/7,E2016Hb,775824
1,2019/2,SE2417HGc,734295
1,2019/8,SE2417HGc,734295
2,2019/2,SE2417HGc,734393
2,2019/8,E2216Hf,782961
1,2019/6,E2216Hf,760164
4,2019/3,E2216Hf,736869
3,2019/2,E2216Hf,732908
2,2019/3,SE2417HGc,742332
4,2019/9,SE2417HGc,745055
1,2019/4,SE2417HGc,745055
3,2019/3,E2216Hf,743183
5,2019/7,E2216Hf,770642
6,2019/2,E2216Hf,732633
2,2019/4,P2717Ht,749969
2,2019/4,UP2516Dt,752194
2,2019/5,SE2417HGc,756687
5,2019/6,E2216Hf,761660
6,2019/5,E2216Hf,755593
5,2019/7,E2216Hf,768912
5,2019/3,E2216Hf,736955
2,2019/4,E2216Hf,747407
3,2019/5,E2216Hf,755882
2,2019/7,SE2417HGc,773182
5,2019/8,E2216Hf,777237
4,2019/5,E2216Hf,759014
5,2019/6,E2216Hf,761772
4,2019/4,E2016Hb,746208
2,2019/1,E2016Hb,729186
3,2019/5,E2016Hb,752286
4,2019/5,E2016Hb,754122
4,2019/8,P2717Ht,778500
2,2019/8,SE2417HGc,778649
4,2019/6,E2216Hf,761419
5,2019/7,E2216Hf,775276
5,2019/4,E2216Hf,745909
2,2019/1,SE2417HGc,654326
2,2019/4,SE2417HGc,660172
2,2019/6,SE2417HGc,660206
4,2019/8,SE2417HGc,721357
2,2019/1,P2717Ht,727024
5,2019/6,E2216Hf,761383
3,2019/5,E2216Hf,753195
5,2019/6,E2216Hf,760447
2,2019/1,SE2417HGc,727109
2,2019/1,SE2417HGc,727122
2,2019/1,SE2417HGc,730283
3,2019/1,U3014t,730334
1,2019/2,E2316Hf,732823
1,2019/1,E2316Hf,732823
2,2019/2,E2316Hf,732840
2,2019/1,E2316Hf,732840
3,2019/6,E2216Hf,763355
4,2019/5,E2216Hf,753812
3,2019/3,E2216Hf,743432
3,2019/5,E2216Hf,753426
1,2019/1,SE2417HGc,732938
1,2019/8,SE2417HGc,732938
2,2019/2,SE2417HGc,734980
2,2019/3,U2414Hb,740494
2,2019/5,E2216Hf,755800
5,2019/3,E2216Hf,743879
1,2019/7,P2416Db,687948
2,2019/1,SE2717Hc,727507
2,2019/1,U2518Dt,729949
1,2019/2,P2419Hb,732604
2,2019/1,P2419Hb,732604
2,2019/2,U2412Mc,732638
1,2019/1,U2412Mc,732638
1,2019/2,U2518Dt,732655
1,2019/1,U2518Dt,732655
2,2019/2,E2418HNb,732672
1,2019/1,E2418HNb,732672
1,2019/2,P2419Hb,732689
1,2019/1,P2419Hb,732689
3,2019/2,P2419Hb,732706
3,2019/1,P2419Hb,732706
2,2019/2,U2518Dt,735395
2,2019/2,U2518Dt,735412
2,2019/2,U2518Dt,735429
2,2019/2,SE2717Hc,735497
1,2019/3,SE2717Hc,735531
3,2019/3,U2518Dt,737969
3,2019/3,U2518Dt,738054
3,2019/3,U2518Dt,738088
1,2019/3,P2416Db,740930
1,2019/7,P2416Db,740930
4,2019/3,U2518Dt,743921
2,2019/5,E2418HNb,755570
3,2019/5,P2418HTt,755600
2,2019/5,P2416Db,755634
1,2019/7,P2416Db,755634
5,2019/5,SE2416HMc,757625
4,2019/5,P2419Hb,757642
2,2019/5,E2418HNb,757706
3,2019/6,U2518Dt,760433
6,2019/6,U2518Dt,760531
2,2019/6,U2518Dt,760548
1,2019/6,SE2216Hf,763339
3,2019/6,U2518Dt,763356
4,2019/6,U2518Dt,763373
2,2019/6,U2518Dt,766330
5,2019/6,U2518Dt,766449
3,2019/7,U2518Dt,768806
4,2019/7,U2518Dt,768840
4,2019/7,E2418HNb,768870
2,2019/7,E2418HNb,768904
7,2019/7,P2419Hb,771329
5,2019/7,U2518Dt,774018
3,2019/7,P2419Hb,776677
3,2019/1,SE2218HV,726324
2,2019/1,SE2218HV,726417
2,2019/1,SE2218HV,726460
2,2019/1,SE2218HV,726467
2,2019/1,SE2218HV,729068
2,2019/1,SE2218HV,729175
3,2019/1,S2419HMt,731840
2,2019/2,U2412Mc,734291
1,2019/2,S2716DGb,734298
3,2019/8,S2716DGb,734298
2,2019/2,SE2218HV,734398
3,2019/3,SE2218HV,736856
4,2019/3,SP2318Hb,739914
2,2019/3,SE2218HV,739964
2,2019/3,SE2218HV,740021
2,2019/3,SE2218HV,742386
2,2019/3,SE2218HV,742393
2,2019/3,SE2218HV,742429
2,2019/3,S2419HMt,742436
2,2019/3,S2419HMt,742443
3,2019/3,SE2218HV,742472
3,2019/4,SE2218HV,745194
3,2019/4,U2412Mc,747466
2,2019/4,S2419HMt,752232
1,2019/5,S2419HMt,752232
3,2019/8,E2216Hf,777358
5,2019/5,E2216Hf,755608
3,2019/3,E2216Hf,743847
3,2019/5,E1914Hc,752282
4,2019/5,SE2218HV,754118
1,2019/5,SE2218HV,756569
2,2019/5,SE2218HV,756619
2,2019/5,SE2218HV,756626
3,2019/5,SE2218HV,758998
4,2019/6,SE2218HV,761763
1,2019/8,S2716DGb,761806
1,2019/6,S2716DGb,761806
2,2019/6,SE2218HV,764707
1,2019/6,SP2318Hb,767865
1,2019/7,SP2318Hb,767865
2,2019/8,AW2518Hb,779405
3,2019/7,AW2518Hb,770273
5,2019/7,SE2218HV,773295
2,2019/8,SE2218HV,778561
2,2019/8,SE2218HV,778568
2,2019/8,SP2318Hb,778611
2,2019/8,SE2218HV,778668
3,2019/8,SE2218HV,781219
3,2019/8,AW2518Hb,783591
3,2019/8,SE2218HV,783598
4,2019/8,SE2218HV,783691
2,2019/4,E1715Sc,746630
3,2019/5,U2417Ht,752270
1,2019/4,U2417Ht,752272
2,2019/5,U2417Ht,752272
3,2019/4,U2417Ht,752299
3,2019/5,U2417Ht,752299
3,2019/5,U2417Ht,754042
6,2019/5,U2417Ht,754044
5,2019/5,U2417Ht,754135
1,2019/5,U2417Ht,754142
2,2019/7,U2417Ht,754142
2,2019/5,U2417Ht,754144
1,2019/5,U2417Ht,756609
4,2019/5,E2216HVf,758922
5,2019/5,U2417Ht,758981
4,2019/5,U2417Ht,759017
6,2019/5,U2417Ht,759022
4,2019/5,U2718Qb,759058
3,2019/6,U2417Ht,761723
2,2019/6,U2417Ht,761830
4,2019/6,U2718Qb,761832
2,2019/6,U2417Ht,764697
2,2019/6,U2417Ht,764738
2,2019/6,U2417Ht,764740
2,2019/6,E2216HVf,764833
6,2019/6,U2718Qb,764838
3,2019/7,U2417Ht,767739
2,2019/6,U2417Ht,767739
3,2019/8,S2718HNc,767782
1,2019/6,S2718HNc,767782
4,2019/7,P2217Hb,767839
2,2019/6,P2217Hb,767839
2,2019/7,U2417Ht,767841
3,2019/6,U2417Ht,767841
2,2019/7,U2417Ht,770320
2,2019/7,U2417Ht,770413
4,2019/7,SE2416HMc,770420
4,2019/7,U2718Qb,770456
2,2019/2,U2417Ht,642751
