ModelType,a,b,c,Precision
AW2518Hb,0.08,0.19,0.73,0.00253639
AW2518HFb,0.13,0.27,0.6,0.00209523
AW3418DWb,0.14,0.13,0.73,0.00471407
AW3418HWb,0.28,0.16,0.56,0.00503395
D3216Ho,0.14,0.23,0.63,0.0079694
D3217Ho,0.17,0.32,0.51,0.00703755
E1715Sc,0.25,0.26,0.49,0.00456303
E1913c,0.37,0.33,0.3,0.0104395
E1913Sc,0,0.5,0.5,0.00587689
E1913Sf,0.24,0.26,0.5,0.00565982
E1914Hf,0,0,1,0.00560164
E1916Hf,0.29,0.16,0.55,0.00553679
E1916HMf,0.07,0.49,0.44,0.00856537
E1916HVf,0.35,0.18,0.47,0.00574362
E2014Hc,0.28,0.41,0.31,0.0115218
E2014Hf,0,0.9,0.1,0.00614328
E2016Hb,0.12,0.13,0.75,0.00308339
E2016HM,0.27,0.35,0.38,0.00575253
E2016HVf,0.17,0.26,0.57,0.00317805
E2016t,0.11,0.41,0.48,0.00605401
E2210c,0.06,0.25,0.69,0.00800262
E2214Hb,0.15,0.18,0.67,0.00996604
E2215HVf,0.73,0.26,0.00999999,0.00633864
E2216Hf,0.14,0.24,0.62,0.00363825
E2216HVf,0.12,0.14,0.74,0.00326256
E2218HNf,0.17,0.32,0.51,0.00677782
E2219HNo,0.26,0.29,0.45,0.00608179
E2314Hf,0.46,0.12,0.42,0.00936773
E2316Hf,0.09,0.06,0.85,0.00239144
E2318Hf,0.13,0.23,0.64,0.00464376
E2318HNf,0.26,0.4,0.34,0.00482215
E2416Hb,0,0.55,0.45,0.00516976
E2417Hb,0.06,0.26,0.68,0.00317204
E2418HNb,0.12,0.32,0.56,0.00549498
P1914Sf,0.04,0.21,0.75,0.00574802
P1917Sc,0.23,0.29,0.48,0.00529091
P2014Ht,0.37,0.52,0.11,0.00869111
P2016b,0.3,0.21,0.49,0.00707944
P2018Hc,0.35,0.59,0.06,0.00671943
P2213t,0.19,0.34,0.47,0.00899384
P2214Hb,0.18,0.47,0.35,0.00791082
P2217c,0.28,0.09,0.63,0.00636057
P2217Hb,0.28,0.24,0.48,0.00528636
P2219Hb,0.16,0.16,0.68,0.00350506
P2219HCb,0.18,0.71,0.11,0.00338277
P2314Ht,0.09,0.23,0.68,0.00460912
P2317Hb,0.15,0.2,0.65,0.00371092
P2317HWHb,0.22,0.48,0.3,0.00646611
P2319Hc,0.24,0.3,0.46,0.00448726
P2414Hb,0.02,0.15,0.83,0.00448771
P2415Qb,0.23,0.18,0.59,0.00399063
P2416Db,0.17,0.34,0.49,0.0052256
P2417Hb,0.12,0.2,0.68,0.0038598
P2418Dc,0.13,0.08,0.79,0.00355243
P2418HTt,0.19,0.27,0.54,0.00504103
P2418HZc,0.77,0.17,0.06,0.00864814
P2419Hb,0.05,0.17,0.78,0.00305855
P2419HCb,0,0.67,0.33,0.00289026
P2715Qt,0.36,0.37,0.27,0.00543675
P2717Ht,0.25,0.21,0.54,0.00514005
P2719HCt,0,0.25,0.75,0.00193967
P2719Ht,0.09,0.21,0.7,0.00403467
P3418HWf,0.5,0,0.5,0.00689429
P4317Qc,0.06,0.22,0.72,0.0096275
S2216Mc,0.06,0.53,0.41,0.00948927
S2218Hc,0.03,0.08,0.89,0.00418768
S2218Mc,0.04,0.93,0.03,0.00916858
S2240Tb,0.37,0.24,0.39,0.00870156
S2316Hb,0.06,0.28,0.66,0.00952488
S2316Hc,0.11,0.4,0.49,0.00550431
S2316Mc,0.11,0.28,0.61,0.00397337
S2318Hc,0.1,0.29,0.61,0.00716223
S2318Mc,0.12,0.26,0.62,0.00474599
S2319Hc,0.16,0.07,0.77,0.00370995
S2319HSt,0,0.19,0.81,0.00213238
S2415Hb,0.16,0.17,0.67,0.00814681
S2417DGb,0.06,0.06,0.88,0.00331311
S2418HNt,0.23,0.03,0.74,0.00553006
S2418Ht,0.14,0.04,0.82,0.007822
