Model,Month,a,b,c,Precision
AW2518Hb,2018/5/1,0,0,1,0.00119407
AW2518Hb,2018/6/1,0,0.24,0.76,0.00236048
AW2518Hb,2018/7/1,0.14,0.6,0.26,0.00390216
AW2518Hb,2018/8/1,0.7,0.3,0,0.001806
AW2518Hb,2018/9/1,0.99,0,0.00999999,0.00130889
AW2518Hb,2018/10/1,0,0,1,0.00258
AW2518Hb,2018/11/1,0,0,1,0.00221754
AW2518Hb,2018/12/1,0,0.27,0.73,0.00257764
AW2518Hb,2019/1/1,0.65,0.35,2.98023e-08,0.00320593
AW2518Hb,2019/2/1,0.96,0.04,2.23517e-08,0.004008
AW2518Hb,2019/3/1,0.01,0,0.99,0.000466302
AW2518Hb,2019/4/1,0.08,0.91,0.00999999,0.000901512
AW2518Hb,2019/5/1,0,0,1,0.00127114
AW2518Hb,2019/6/1,0,0.99,0.00999999,0.00149236
AW2518Hb,2019/7/1,0,0,1,0.00155227
AW2518Hb,2019/8/1,0.01,0.24,0.75,0.00218184
AW2518Hb,2019/9/1,0.96,0.04,2.23517e-08,0.00170642
AW2518HFb,2018/5/1,0.16,0.7,0.14,0.0012465
AW2518HFb,2018/6/1,0.99,0,0.00999999,0.000702207
AW2518HFb,2018/7/1,0,0.34,0.66,0.00205979
AW2518HFb,2018/8/1,0.03,0,0.97,0.00239002
AW2518HFb,2018/9/1,0,0.6,0.4,0.000977253
AW2518HFb,2018/10/1,0.3,0.49,0.21,0.00284366
AW2518HFb,2018/11/1,0.18,0,0.82,0.00200089
AW2518HFb,2018/12/1,0,0.99,0.00999999,0.00151039
AW2518HFb,2019/1/1,0.99,0,0.00999999,0.0037514
AW2518HFb,2019/2/1,0,0.99,0.00999999,0.00430394
AW2518HFb,2019/3/1,0.08,0,0.92,0.000578904
AW2518HFb,2019/4/1,0.07,0.32,0.61,0.000927926
AW2518HFb,2019/5/1,0.11,0,0.89,0.0012732
AW2518HFb,2019/6/1,0,0.71,0.29,0.00128325
AW2518HFb,2019/7/1,0.47,0.16,0.37,0.00131939
AW2518HFb,2019/8/1,0.14,0.13,0.73,0.00147681
AW2518HFb,2019/9/1,0.34,0,0.66,0.00100294
AW3418DWb,2018/5/1,0,0.03,0.97,0.0034139
AW3418DWb,2018/6/1,0,0.87,0.13,0.00787511
AW3418DWb,2018/7/1,0,0,1,0.00475671
AW3418DWb,2018/8/1,0.16,0.08,0.76,0.0045892
AW3418DWb,2018/9/1,0.46,0.21,0.33,0.00477143
AW3418DWb,2018/10/1,0.29,0.51,0.2,0.00402194
AW3418DWb,2018/11/1,0.42,0.03,0.55,0.00461955
AW3418DWb,2018/12/1,0,0.35,0.65,0.00462083
AW3418DWb,2019/1/1,0.61,0,0.39,0.00659926
AW3418DWb,2019/2/1,0.01,0.67,0.32,0.006497
AW3418DWb,2019/3/1,0.1,0,0.9,0.00333656
AW3418DWb,2019/4/1,0.07,0,0.93,0.00309276
AW3418DWb,2019/5/1,0,0.79,0.21,0.00241195
AW3418DWb,2019/6/1,0.56,0,0.44,0.00254038
AW3418DWb,2019/7/1,0.4,0.6,0,0.00217248
AW3418DWb,2019/8/1,0.38,0,0.62,0.00251114
AW3418DWb,2019/9/1,0.53,0.17,0.3,0.00228821
AW3418HWb,2018/5/1,0.5,0,0.5,0.00724153
AW3418HWb,2018/6/1,0.4,0.24,0.36,0.00457888
AW3418HWb,2018/7/1,0.36,0.24,0.4,0.00676619
AW3418HWb,2018/8/1,0,0,1,0.00698159
AW3418HWb,2018/9/1,0,0.99,0.00999999,0.00579303
AW3418HWb,2018/10/1,0.89,0.11,1.49012e-08,0.00435049
AW3418HWb,2018/11/1,0.39,0,0.61,0.00593138
AW3418HWb,2018/12/1,0,0.19,0.81,0.00470253
AW3418HWb,2019/1/1,0.32,0.36,0.32,0.00672056
AW3418HWb,2019/2/1,0.5,0,0.5,0.00689339
AW3418HWb,2019/3/1,0,0.24,0.76,0.0027731
AW3418HWb,2019/4/1,0.03,0.6,0.37,0.00289908
AW3418HWb,2019/5/1,0,0.03,0.97,0.00231698
AW3418HWb,2019/6/1,0.06,0.28,0.66,0.00244882
AW3418HWb,2019/7/1,0,0.97,0.03,0.00127556
AW3418HWb,2019/8/1,0.3,0.11,0.59,0.00289412
AW3418HWb,2019/9/1,0.51,0.25,0.24,0.00295648
D3216Ho,2018/5/1,0.6,0.27,0.13,0.0059898
D3216Ho,2018/6/1,0.17,0.39,0.44,0.00699635
D3216Ho,2018/7/1,0.6,0,0.4,0.00816994
D3216Ho,2018/8/1,0.35,0.6,0.05,0.00698737
D3216Ho,2018/9/1,0.44,0.08,0.48,0.00631104
D3216Ho,2018/10/1,0.01,0.3,0.69,0.00758114
D3216Ho,2018/11/1,0,0.37,0.63,0.00623638
D3216Ho,2018/12/1,0.07,0.78,0.15,0.00853318
